Species	Weight	Length1	Length1	Length2	Length3
7	685	34	34	36.5	39
7	700	34	34	36	38.3
7	700	34.5	34.5	37	39.4
7	690	34.6	34.6	37	39.3
7	900	36.5	36.5	39	41.4
7	650	36.5	36.5	39	41.4
7	820	36.6	36.6	39	41.3
7	850	36.9	36.9	40	42.3
7	900	37	37	40	42.5
7	1015	37	37	40	42.4
7	820	37.1	37.1	40	42.5
7	1100	39	39	42	44.6
7	1000	39.8	39.8	43	45.2
7	1100	40.1	40.1	43	45.5
7	1000	40.2	40.2	43.5	46
7	1000	41.1	41.1	44	46.6
