Sample	Parrot	CoralRichness	CoralTotal	Month	Station	Method
155	0.8	7	2.04	14	4	2
156	4	7	2.04	14	4	2
157	1.2	7	2.04	14	4	2
158	0.8	7	2.04	14	4	2
159	0	7	2.04	14	4	2
160	0.4	7	2.04	14	4	2
167	2.4	6	2.13	2	5	2
168	0.4	6	2.13	2	5	2
169	0	6	2.13	2	5	2
170	6	6	2.13	2	5	2
171	5.2	6	2.13	2	5	2
172	3.2	6	2.13	2	5	2
173	4.8	6	2.13	5	5	2
174	5.6	6	2.13	5	5	2
175	0	6	2.13	5	5	2
176	0	6	2.13	5	5	2
177	1.2	6	2.13	5	5	2
178	7.2	15	4.76	7	5	2
179	3.2	15	4.76	7	5	2
180	4	15	4.76	8	5	2
181	1.6	15	4.76	8	5	2
182	3.2	15	4.76	8	5	2
183	5.2	15	4.76	8	5	2
184	12.8	10	8.63	14	5	2
185	5.6	10	8.63	14	5	2
186	10	10	8.63	14	5	2
187	6.8	10	8.63	14	5	2
188	14.8	10	8.63	14	5	2
189	15.6	10	8.63	14	5	2
204	9.6	8	5.15	2	6	2
205	6	8	5.15	2	6	2
206	3.2	8	5.15	2	6	2
207	5.2	5	7.6	5	6	2
208	3.6	5	7.6	5	6	2
209	12.4	5	7.6	5	6	2
210	14.8	5	7.6	5	6	2
211	2.4	11	3.21	8	6	2
212	2.8	11	3.21	8	6	2
213	4	11	3.21	8	6	2
214	3.6	11	3.21	8	6	2
215	7.2	11	3.21	8	6	2
216	4.8	11	3.21	8	6	2
217	6	11	8.93	13	6	2
218	6.4	11	8.93	13	6	2
219	11.2	11	8.93	13	6	2
220	7.2	11	8.93	13	6	2
221	8.8	11	8.93	13	6	2
222	14	11	8.93	13	6	2
223	26.8	14	7.24	14	6	2
224	6.8	14	7.24	14	6	2
225	4	14	7.24	14	6	2
226	6.4	14	7.24	14	6	2
227	13.2	14	7.24	14	6	2
228	9.2	14	7.24	14	6	2
229	6.8	3	6.5	17	6	2
230	8	3	6.5	17	6	2
231	5.2	3	6.5	17	6	2
232	2.4	3	6.5	17	6	2
233	0.8	3	6.5	17	6	2
234	0	3	6.5	17	6	2
235	6.4	3	6.5	17	6	2
236	6.4	3	6.5	17	6	2
237	3.6	3	6.5	17	6	2
238	1.6	3	6.5	17	6	2
239	3.6	8	6.6	19	6	2
240	8	8	6.6	19	6	2
241	7.6	8	6.6	20	6	2
268	9.2	9	8.17	5	7	2
269	0	9	8.17	5	7	2
270	0	9	8.17	5	7	2
271	11.2	9	8.17	5	7	2
272	8	9	8.17	5	7	2
273	8.8	14	7.39	8	7	2
274	5.6	14	7.39	8	7	2
275	6	14	7.39	8	7	2
276	6	14	7.39	8	7	2
277	16	14	7.39	8	7	2
278	9.2	14	7.39	8	7	2
279	3.2	14	7.39	8	7	2
280	4.4	10	15.02	13	7	2
281	4	10	15.02	13	7	2
282	4.4	10	15.02	13	7	2
283	5.6	10	15.02	13	7	2
284	8.8	10	15.02	13	7	2
285	5.2	10	15.02	13	7	2
286	24	10	15.02	13	7	2
287	5.2	10	15.02	13	7	2
288	4.8	10	15.02	13	7	2
289	9.6	10	15.02	13	7	2
290	3.2	10	15.02	13	7	2
291	7.2	10	15.02	13	7	2
292	11.2	10	15.02	13	7	2
293	7.2	10	15.02	14	7	2
294	6	10	15.02	14	7	2
295	8.8	10	15.02	14	7	2
296	10.4	10	15.02	14	7	2
297	21.2	10	15.02	14	7	2
298	4.8	10	15.02	14	7	2
299	6.4	10	15.02	14	7	2
300	9.6	10	15.02	14	7	2
301	7.2	10	15.02	14	7	2
302	3.6	10	15.02	14	7	2
303	1.6	10	15.02	14	7	2
304	14.8	10	15.76	19	7	2
305	8.8	10	15.76	19	7	2
306	7.6	10	15.76	19	7	2
307	3.6	10	15.76	19	7	2
308	11.6	10	12.7	20	7	2
309	14.4	10	12.7	20	7	2
310	4	9	8.17	2	7	2
311	4	9	8.17	2	7	2
312	2	9	8.17	2	7	2
313	3.6	9	8.17	2	7	2
314	4	9	8.17	2	7	2
315	3.2	9	8.17	2	7	2
316	2	9	8.17	2	7	2
321	1.6	6	1.9	2	8	2
322	4.8	6	1.9	2	8	2
323	0.8	6	1.9	2	8	2
324	0.4	6	1.9	2	8	2
325	4	6	1.9	5	8	2
326	14.8	6	1.9	5	8	2
327	4	6	1.9	5	8	2
341	1.6	10	3.17	2	9	2
342	1.6	10	3.17	2	9	2
343	1.2	10	3.17	2	9	2
344	1.2	10	3.17	2	9	2
345	10.8	10	3.17	5	9	2
346	14.4	10	3.17	5	9	2
347	9.2	10	3.17	5	9	2
348	15.2	10	3.17	5	9	2
349	3.2	10	3.17	5	9	2
350	9.2	14	2.65	8	9	2
351	14.4	14	2.65	8	9	2
352	18	12	9.9	13	9	2
353	4.4	12	9.9	13	9	2
354	14.8	12	9.9	13	9	2
355	18.4	12	9.9	13	9	2
356	18	12	9.9	13	9	2
357	4.4	12	9.9	13	9	2
358	6.4	4	7.7	14	9	2
359	6	4	7.7	14	9	2
360	12	4	7.7	14	9	2
361	3.2	4	7.7	14	9	2
362	8.4	4	3.3	20	9	2
363	4.8	4	3.3	20	9	2
378	7.6	10	5.52	2	10	2
379	4.4	10	5.52	2	10	2
380	6.8	10	5.52	2	10	2
381	3.2	10	5.52	2	10	2
382	0	10	5.52	5	10	2
383	16.4	10	5.52	5	10	2
384	8	10	5.52	5	10	2
385	6.8	10	5.52	5	10	2
386	2.8	10	5.69	7	10	2
387	9.2	10	5.69	7	10	2
388	10.4	10	5.69	7	10	2
389	2	10	5.69	7	10	2
390	2.8	10	5.69	7	10	2
391	14.8	10	13.24	13	10	2
392	2	7	15.33	14	10	2
393	5.2	7	15.33	14	10	2
394	9.6	7	15.33	14	10	2
395	13.6	7	15.33	14	10	2
396	12.4	7	15.33	14	10	2
397	10	9	12.53	17	10	2
398	6.4	9	12.53	17	10	2
399	12	9	12.53	17	10	2
400	4.8	9	12.53	17	10	2
401	5.2	9	12.53	17	10	2
402	6.4	9	12.53	17	10	2
